Story Title (Hindi),Complete Story Text (Hindi)
सरस्वती का आशीर्वाद,"उज्जैन के एक गुरुकुल में एक शिष्य था — नाम था कालिदास। लेकिन यह वह कालिदास नहीं जिन्हें आप जानते हैं। यह उनसे पहले की कथा है। एक ऐसा युवक जो पढ़ने में कमज़ोर था, जो बात करने में हकलाता था, जिसे साथी शिष्य मूर्ख कहते थे। वह दिन-रात परिश्रम करता लेकिन ज्ञान उसके पास नहीं आता था। एक रात वह रोते हुए सरस्वती मंदिर पहुँचा और बोला — ""माँ, मैं अपात्र हूँ। लेकिन बस एक बार — बस एक बार कृपा करो।""

उस रात मंदिर में एक दीप जल रहा था। युवक ने देवी की मूर्ति के सामने घंटों बैठकर रोते हुए प्रार्थना की। वह नहीं जानता था कि क्या माँगे — उसे बस अपनी असमर्थता का दर्द था। तभी उसे लगा — मंदिर में एक मीठी सुगंध आई, दीप की लौ स्थिर हो गई, और एक गहरी शांति छा गई। उसे नहीं पता कब नींद आई। लेकिन जब वह उठा — तो भीतर कुछ बदल गया था। उसके मुख से शब्द निकले — और वे शब्द ऐसे थे जो उसने पहले कभी नहीं सोचे थे।

अगले दिन गुरुकुल में जब गुरुजी ने शिष्यों से एक श्लोक की व्याख्या माँगी — तो सबसे पहले वही उठा जिसे कल तक मूर्ख कहा जाता था। उसने जो व्याख्या दी — वह इतनी गहरी थी, इतनी काव्यमय थी, कि गुरुजी और सभी शिष्य स्तब्ध हो गए। यह वह नहीं था जो कल था। गुरुजी ने उससे पूछा — ""रात क्या हुआ?"" उसने सच बता दिया — ""मैं सरस्वती मंदिर गया था। माँ ने कृपा की।"" गुरुजी ने कहा — ""यही सरस्वती का स्वभाव है — वे उसे देती हैं जो माँगना नहीं जानता, बस प्रेम करना जानता है।""

यह कथा आगे बढ़ती है। वह युवक कालिदास बने — संस्कृत के सबसे महान कवि। उनके नाटक अभिज्ञानशाकुन्तलम्, मेघदूत, और रघुवंशम् आज भी विश्व साहित्य की धरोहर हैं। लेकिन कालिदास कभी नहीं भूले — वह रात, वह दीप, वह आँसू, और वह कृपा। उन्होंने अपनी हर रचना सरस्वती को समर्पित की। हर ग्रंथ की शुरुआत में लिखा — ""माँ सरस्वती की कृपा से।"" क्योंकि वे जानते थे — यह प्रतिभा उनकी नहीं, माँ की देन है।

सरस्वती की यह कृपा केवल कालिदास को नहीं मिली। हर युग में ऐसे भक्त हुए हैं जो अपात्र थे लेकिन जिनमें एक चीज़ थी — सच्ची लगन। देवी सरस्वती प्रतिभा नहीं देखतीं — वे समर्पण देखती हैं। वे पुरस्कार नहीं देखतीं — वे प्रेम देखती हैं। इसीलिए परीक्षा से पहले सरस्वती की पूजा होती है — इसलिए नहीं कि देवी पेपर आसान कर देंगी। बल्कि इसलिए कि जब हम उनके सामने बैठते हैं, तो हम खुद को याद दिलाते हैं — ज्ञान उपहार है, अधिकार नहीं।

तो अगली बार जब आप किसी परीक्षा से पहले, किसी महत्वपूर्ण काम से पहले, सरस्वती की पूजा करें — याद रखें। आप केवल अच्छे परिणाम नहीं माँग रहे। आप उस भाव को जगा रहे हैं जो उस युवक में था उस रात — जो नहीं जानता था कि क्या माँगे, बस आया था, और माँ के सामने खड़ा हो गया था। वह भाव काफी है। सरस्वती उन्हें देती हैं जो इस तरह आते हैं — खाली हाथ, भरे दिल से।"
वसंत पंचमी,"वसंत पंचमी — वह दिन जब पूरे भारत में पीले रंग की बाढ़ आ जाती है। पीले वस्त्र, पीले फूल, पीली मिठाइयाँ। स्कूल-कॉलेजों में सरस्वती की मूर्ति सजती है। बच्चे अपनी किताबें, कलम, और वाद्ययंत्र देवी के चरणों में रखते हैं। पर क्या आप जानते हैं — इस परंपरा के पीछे क्या कथा है? वसंत पंचमी सरस्वती का जन्मदिन क्यों मानी जाती है? और पीला रंग क्यों?

कथा यह है — जब ब्रह्मा ने सृष्टि बनाई, तब उन्होंने देखा कि सब कुछ है — पर किसी में उत्साह नहीं। सृष्टि जड़ थी। तब उन्होंने अपने कमंडल से जल लेकर चारों दिशाओं में छिड़का। उस जल से एक अद्भुत शक्ति प्रकट हुई। वही थीं सरस्वती — वीणा हाथ में, श्वेत वस्त्र, और मुख पर एक ऐसी मुस्कान जो सृष्टि को जगा दे। जिस दिन वे प्रकट हुईं, वह माघ शुक्ल पंचमी का दिन था — वसंत का आगमन। इसीलिए यह दिन उनका जन्मदिन बना।

पीला रंग वसंत का रंग है — सरसों के फूलों का रंग, गेहूँ की बालियों का रंग, सूरज की पहली किरण का रंग। पीला रंग उर्जा और ज्ञान का प्रतीक है। जब सरस्वती प्रकट हुईं, तो प्रकृति ने उनका स्वागत पीले रंग से किया — खेतों में सरसों खिली, आम्र मंजरी आई, हवा में गर्मी का पहला स्पर्श आया। इसीलिए इस दिन पीला पहनना और पीले फूल चढ़ाना सरस्वती को सबसे प्रिय है — यह वसंत का, नई शुरुआत का, और ज्ञान के उत्सव का रंग है।

वसंत पंचमी पर एक परंपरा है जो विशेष है — विद्यारंभ संस्कार। इस दिन छोटे बच्चों को पहली बार लिखना सिखाया जाता है। गुरु या पिता बच्चे का हाथ पकड़कर पहला अक्षर लिखवाते हैं — ""ॐ""। यह केवल एक अक्षर नहीं है — यह एक जीवन का आरंभ है। इस संस्कार में बच्चे को समझाया जाता है — ""तुम जो पढ़ोगे, वह केवल तुम्हारे लिए नहीं है। ज्ञान बाँटने के लिए है।"" यही सरस्वती की सबसे गहरी शिक्षा है — ज्ञान दिया जाए तो बढ़ता है, रखा जाए तो मरता है।

एक बार एक पंडित ने पूछा — ""माँ, ज्ञान और विद्या में क्या अंतर है?"" सरस्वती ने कहा — ""विद्या वह है जो तुम सीखते हो। ज्ञान वह है जो तुम बन जाते हो।"" यह अंतर महत्वपूर्ण है। बहुत लोग विद्वान होते हैं — उन्हें सब पता होता है। लेकिन जिनमें ज्ञान हो — वे बदल जाते हैं। उनका व्यवहार बदलता है, उनकी दृष्टि बदलती है। वसंत पंचमी केवल किताबों की पूजा नहीं है — यह उस परिवर्तन का उत्सव है जो सच्चा ज्ञान लाता है।

वसंत पंचमी का संदेश सरल और गहरा है — हर साल एक बार हम रुककर यह स्वीकार करते हैं कि हम अभी भी शिष्य हैं। चाहे हमारी उम्र कुछ भी हो, चाहे हम कितना भी जानते हों — ज्ञान का महासागर अनंत है। उस दिन जब हम सरस्वती के सामने अपनी किताबें रखते हैं — हम कह रहे होते हैं, ""माँ, मैं अभी भी सीख रहा हूँ। मुझे मार्ग दिखाओ।"" और यह विनम्रता — यही सबसे बड़ी विद्या है। यही सरस्वती को सबसे प्रिय है।"
दुर्गा का काली रूप,"महिषासुर के बाद दो और महादानव उठे — शुम्भ और निशुम्भ। उनकी सेना में थे चंड और मुंड — क्रूर, अहंकारी, अपराजेय। देवताओं ने फिर देवी से प्रार्थना की। देवी प्रकट हुईं — पार्वती के शरीर से। पार्वती ने कहा: ""मेरे शरीर की कोशिका से उत्पन्न हुई हैं ये — इसलिए ये कौशिकी कहलाएँगी।""

चंड और मुंड काली के पास आए — देवी का अपहरण करने के लिए। काली का क्रोध भयंकर था। उन्होंने अपना मुख फाड़ा — भयानक दाँत, लाल आँखें, काला शरीर। एक ही झपट में चंड और मुंड का अंत हो गया। उनके सिर काटकर काली ने अंबिका को दिए। ""तेरे ये उपहार।"" अंबिका हँसीं — ""चामुंडा — यही तेरा नाम होगा।""

अब बारी थी रक्तबीज की — वह दानव जिसे ब्रह्मा ने वरदान दिया था: ""तेरे रक्त की हर बूँद से एक नया रक्तबीज जन्म लेगा।"" देवताओं के अस्त्र-शस्त्र बेकार थे — जितना लहू बहता, उतने नए दानव। युद्धक्षेत्र दानवों से भर गया। देवता हताश हो गए। तब काली आगे बढ़ीं।

काली ने अपना मुख असीमित रूप से फैलाया — और रक्तबीज पर आक्रमण किया। जहाँ भी रक्त की बूँद गिरने वाली थी — काली की जिह्वा वहाँ पहले पहुँच जाती। एक भी बूँद ज़मीन पर न गिरी। एक भी नया रक्तबीज न जन्मा। और रक्तबीज — रक्त रहित, शक्तिहीन — अंत को प्राप्त हुआ। काली की जीभ लाल थी — रक्त से नहीं, विजय से।

पर एक समस्या थी — रक्तबीज के अंत के बाद काली का क्रोध शांत नहीं हुआ। वे तांडव करती रहीं — पूरी सृष्टि काँप रही थी। देवता घबराए। तब शिव स्वयं उनके मार्ग में लेट गए। काली का पैर शिव की छाती पर पड़ा। उन्होंने नीचे देखा — और अचानक होश आया। लज्जा से उनकी जिह्वा बाहर निकल आई।

काली की वह मूर्ति — जिह्वा बाहर, एक पैर शिव की छाती पर — आज भी भारत के हर काली मंदिर में है। वह मुद्रा लज्जा की नहीं — चेतना की है। क्रोध जब ज़रूरी हो — उठो। जब काम हो जाए — रुको। और जो व्यक्ति तुम्हें उस क्षण में रोक सके — वही तुम्हारा असली साथी है। काली और शिव — शक्ति और चेतना — दोनों मिलकर सृष्टि को संतुलित रखते हैं।"
गणेश की विश्व परिक्रमा,"एक दिन देवर्षि नारद कैलाश पर एक दिव्य फल लेकर आए — ऐसा फल जो ज्ञान, सौंदर्य और अमरत्व देता है। पर फल था केवल एक। शिव और पार्वती के सामने दोनों पुत्र — गणेश और कार्तिकेय। नारद ने कहा: ""यह फल उसे मिलेगा जो पूरी सृष्टि की परिक्रमा कर पहले लौटे।""

गणेश धीरे-धीरे उठे। उन्होंने अपने मूषक को देखा — छोटा, धीमा। ब्रह्मांड की परिक्रमा? इस वाहन से? सब देख रहे थे। कुछ मुस्कुरा रहे थे। गणेश ने एक पल आँखें मूँदीं। फिर उनके होंठों पर मुस्कान आई — एक गहरी, शांत मुस्कान।

गणेश अपने माता-पिता के पास गए। उन्होंने शिव और पार्वती की परिक्रमा की — एक बार, दो बार, तीन बार — पूरी श्रद्धा से, हाथ जोड़कर। फिर वे रुके और बोले: ""माता-पिता ही मेरी संपूर्ण सृष्टि हैं। जो उनकी परिक्रमा करे, उसने समस्त ब्रह्मांड की परिक्रमा की।""

शिव और पार्वती मुग्ध थे। पार्वती की आँखें भर आईं। शिव की वाणी गंभीर हो गई: ""पुत्र, तुमने सबसे बड़ी सच्चाई कही है।"" उन्होंने वह दिव्य फल गणेश को दे दिया। जब कार्तिकेय सम्पूर्ण ब्रह्मांड की परिक्रमा करके लौटे — गणेश फल खा चुके थे।

यह कथा केवल एक प्रतियोगिता की नहीं है। यह सिखाती है — जो ज्ञान बाहर की दुनिया दौड़कर नहीं मिलता, वह माता-पिता की सेवा में, उनके प्रेम में मिलता है। गणेश की बुद्धि इसीलिए अतुलनीय है — वे जानते हैं कि ब्रह्मांड का केंद्र वह है जो हमें सबसे अधिक प्रेम करता है।

कार्तिकेय बहुत दूर जा चुके थे — दुनिया का चक्कर लगाते हुए। जब वे वापस आए, तो गणेश आम खा रहे थे — प्रसन्न और शांत। कार्तिकेय ने जब माँ-बाप की परिक्रमा का अर्थ सुना, तो उन्हें लगा — क्या मेरी यात्रा व्यर्थ थी? गणेश ने कहा: ""नहीं। तुम्हारी यात्रा ने तुम्हें शक्तिशाली बनाया। मेरी परिक्रमा ने मुझे ज्ञानवान।""

शिव-पार्वती ने दोनों पुत्रों को आशीर्वाद दिया। उन्होंने सिखाया: जीवन की सबसे बड़ी परिक्रमा बाहर नहीं, भीतर होती है — माता-पिता और गुरु के प्रति प्रेम में। जो संसार की यात्रा करे पर घर की नींव न पहचाने — वह बहुत देखता है, पर बहुत कम जानता है।"
कुबेर का अहंकार और गणेश,"कुबेर — देवताओं के कोषाध्यक्ष, धन के देवता — अपनी विशाल संपत्ति पर बड़े गर्वित थे। एक दिन उन्होंने शिव और पार्वती को भोज पर आमंत्रित किया — स्वर्णिम महल में, सोने की थालियों में, सौ प्रकार के व्यंजनों के साथ। उनका उद्देश्य? अपनी समृद्धि का प्रदर्शन करना।

गणेश कुबेर के महल पहुँचे — एक छोटे बालक के रूप में। कुबेर ने सोचा — ""बस एक बच्चे को खिलाना है।"" गणेश ने खाना शुरू किया। और खाते गए। और खाते गए। सारे व्यंजन समाप्त हो गए। गणेश की क्षुधा नहीं मिटी। उन्होंने थालियाँ चाटनी शुरू कर दीं — ""और दो!""

कुबेर घबरा गए। ""यह बालक मेरे पूरे भंडार को खा जाएगा!"" वे दौड़कर कैलाश गए और शिव के सामने गिड़गिड़ाए — ""प्रभु, इस बालक की भूख कैसे मिटे?"" शिव मुस्कुराए। उन्होंने एक मुट्ठी भर सादा चावल लिया और कहा — ""यह ले जाओ। प्रेम से परोसो।""

कुबेर वापस लौटे। उन्होंने वह एक मुट्ठी चावल — प्रेम और विनम्रता से — गणेश के सामने रखा। गणेश ने खाया। और उनकी भूख शांत हो गई। कुबेर स्तब्ध रह गए — एक मुट्ठी साधारण चावल ने वह किया जो उनके समस्त वैभव से नहीं हुआ।

इस कथा का सार है — ईश्वर अन्न से नहीं, भाव से तृप्त होते हैं। कुबेर का सारा वैभव व्यर्थ था क्योंकि उसमें घमंड था। एक मुट्ठी सादा चावल — प्रेम से अर्पित — भगवान की भूख मिटा सका। यही कारण है कि मंदिर में अर्पित तुलसी-पत्र का महत्व सोने के थाल से अधिक है।

कुबेर के सारे खज़ाने खाली हो गए — गणेश की भूख न मिटी। तब गणेश ने कहा: ""मुझे एक मुट्ठी चावल दो — जो तुम्हारी माता ने भक्ति से पकाया हो।"" कुबेर चकित हुए — इतनी सरल बात? एक वृद्धा माता ने चावल का भोग लगाया — गणेश तृप्त हो गए। उन्होंने आँखें बंद कीं और मुस्कुराए।

कुबेर घुटनों पर बैठ गए। उन्होंने समझा — धन तृप्ति नहीं देता, भक्ति देती है। जो उनकी तिजोरियों में था, वह असंख्य था — पर भाव खाली था। जो उस वृद्धा के हाथों में था, वह एक मुट्ठी था — पर भाव पूर्ण था। गणेश ने उन्हें आशीर्वाद दिया और कहा: ""अपने धन से सेवा करो — संग्रह मत करो।"""
गणेश जी को हाथी का सिर कैसे मिला,"एक दिन माता पार्वती स्नान करने जा रही थीं। उन्होंने अपने शरीर के उबटन से एक बालक बनाया, उसमें प्राण फूँके, और कहा — ""पुत्र, तुम मेरे द्वारपाल हो। किसी को भीतर मत आने देना।"" और वह बालक — जो था तो मिट्टी से बना, पर माँ के प्रेम से जीवित — खड़ा हो गया।

शिव कैलाश लौटे। द्वार पर एक बालक खड़ा था — अपरिचित, निडर। ""मुझे जाने दो,"" शिव ने कहा। बालक ने मना किया। शिव क्रोधित हुए। उनके गणों ने आक्रमण किया — बालक ने सबको परास्त किया। देवता भी लड़े — बालक पर्वत-सा अडिग रहा। तब शिव ने स्वयं त्रिशूल उठाया।

शिव के त्रिशूल से बालक का मस्तक कट गया और दूर जा गिरा। पार्वती स्नान से लौटीं। उन्होंने देखा — उनका पुत्र भूमि पर पड़ा है, सिर नहीं। माँ का विलाप सुनकर तीनों लोक काँप उठे। पार्वती ने क्रोध में कहा — ""यदि मेरे पुत्र को जीवित नहीं किया गया — तो मैं सृष्टि का विनाश कर दूँगी।""

ब्रह्मा ने उपाय बताया — ""उत्तर दिशा में जाओ, जो पहला जीव मिले जो उत्तर की ओर सो रहा हो, उसका मस्तक ले आओ।"" शिव के गण गए। उन्हें मिला — एक हाथी, उत्तर की ओर सोता हुआ। उसका मस्तक लाया गया। शिव ने अपने हाथों से उस मस्तक को बालक के धड़ पर लगाया।

बालक उठा — हाथी के मस्तक के साथ, नई आँखों में ब्रह्मांड की समझ लिए। पार्वती ने अपने पुत्र को गले लगाया। शिव ने घोषणा की — ""यह बालक गणेश है, गणों का अध्यक्ष। इसे सर्वप्रथम पूजा जाएगा। कोई भी शुभ कार्य इसकी पूजा के बिना सफल नहीं होगा।""

गणेश का हाथी-मस्तक उनकी सीमा नहीं — उनकी शक्ति है। हाथी का बड़ा मस्तक — विशाल सोच। बड़े कान — ध्यान से सुनना। छोटा मुँह — कम बोलना। बड़ा पेट — सब कुछ पचाने की क्षमता। एक दाँत — एकाग्रता। और उनका वाहन मूषक — यह बताता है कि जो सबसे छोटी रुकावट है, उस पर भी सवारी करनी होती है। गणेश हर शुरुआत में हैं — क्योंकि हर शुरुआत एक नया जन्म है।"
हनुमान द्वारा लंका दहन,"लंका की स्वर्णिम नगरी में प्रवेश करने के बाद, हनुमान ने अशोक वाटिका में माता सीता को खोज लिया। वे शोकमग्न थीं, परंतु राम के दूत को देखकर उनके नेत्रों में आशा की किरण जागी। हनुमान ने उन्हें श्री राम की मुद्रिका दी और आश्वासन दिया — ""माता, प्रभु राम शीघ्र ही आएंगे।""

सीता माँ से मिलने के बाद, हनुमान ने सोचा — ""मैं लंका की शक्ति का परीक्षण करूँगा।"" उन्होंने अशोक वाटिका के वृक्षों को उखाड़ना शुरू किया, राक्षसों को ललकारा। रावण के पुत्र अक्षय कुमार को उन्होंने मार गिराया। तब रावण ने अपने सबसे शक्तिशाली पुत्र इंद्रजित को भेजा।

इंद्रजित ने ब्रह्मास्त्र का प्रयोग किया। हनुमान ब्रह्मा जी का सम्मान करते हुए स्वेच्छा से बंधन में आ गए। नाग-पाश में जकड़े हुए उन्हें रावण की सभा में घसीटा गया। समस्त राक्षस हँस रहे थे — पर हनुमान के नेत्रों में भय का एक कण भी नहीं था।

हनुमान ने रावण की आँखों में सीधे देखते हुए कहा: ""हे लंकेश, मैं श्री राम का दूत हूँ। माता सीता को सम्मान सहित लौटा दो और क्षमा माँगो। अन्यथा राम के बाण तुम्हारी इस स्वर्णिम लंका को भस्म कर देंगे।"" रावण का अहंकार आहत हुआ। उसने आदेश दिया — ""इस वानर की पूँछ में आग लगाओ!""

सैनिकों ने तेल में भीगे वस्त्र हनुमान की पूँछ पर लपेटे और अग्नि प्रज्वलित की। पर हनुमान ने अपने शरीर को छोटा किया और बंधन तोड़ दिए। फिर उन्होंने विशाल रूप धारण किया — उनकी जलती हुई पूँछ एक प्रचंड मशाल बन गई। वे छत से छत पर कूदते गए, और लंका की हर इमारत अग्नि की लपटों में घिरती गई।

हनुमान को अचानक माता सीता की चिंता हुई। ""कहीं अग्नि माता को हानि न पहुँचाए!"" वे तत्काल अशोक वाटिका की ओर दौड़े। पर देखा — वहाँ शीतल वायु बह रही थी और माता सीता सुरक्षित थीं। तब हनुमान को ज्ञात हुआ — राम की कृपा से अग्नि ने स्वयं माता को नहीं छुआ था।

हनुमान ने समुद्र में अपनी पूँछ बुझाई और आकाश में उड़ गए। जब वे राम के पास लौटे, सेना में जयकार हुई। राम ने हनुमान को हृदय से लगाया — यह आलिंगन किसी पुरस्कार से बढ़कर था। इस कथा का सार यही है: जो धर्म के लिए जलता है, वह स्वयं नहीं जलता — वह दूसरों का अंधकार मिटाता है।"
हनुमान और राम की प्रथम भेंट,"सीता हरण के बाद राम और लक्ष्मण वन में सीता को खोजते हुए ऋष्यमूक पर्वत के पास पहुँचे। वहाँ वानरराज सुग्रीव छिपकर रहते थे। उन्होंने दो दिव्य तेजस्वी पुरुषों को देखा और भय से काँप उठे — कहीं ये रावण के दूत तो नहीं?

सुग्रीव ने हनुमान को उन दोनों के पास भेजा — ""जाओ, पता करो ये कौन हैं।"" हनुमान ने ब्राह्मण का वेश धारण किया और उन दोनों के समीप पहुँचे। उनके शब्द, उनका व्यवहार, उनकी विद्वत्ता — सब कुछ असाधारण था। पर जब उन्होंने राम के नेत्रों में देखा, तो हनुमान के हृदय में कुछ पहचाना — जैसे वे इन्हें पहले से जानते हों।

राम ने लक्ष्मण से धीरे से कहा — ""लक्ष्मण, देखो इस वानर को। व्याकरण, शब्द, स्वर — सब परिपूर्ण। इसके गुरु धन्य हैं। और इसके नेत्रों में जो भाव है — वह शत्रु का नहीं हो सकता।"" हनुमान ने अपना परिचय दिया। राम ने पूछा — ""तुम हनुमान हो?"" और हनुमान को लगा जैसे उनके नाम का असली अर्थ आज पहली बार प्रकट हुआ।

हनुमान ने राम को सुग्रीव के पास ले जाने का प्रस्ताव रखा। राम सहमत हुए। हनुमान ने दोनों को अपने कंधों पर बैठाया और पर्वत पर चढ़ गए। जिस क्षण राम हनुमान के कंधे पर बैठे — हनुमान को लगा यही उनके जीवन का सबसे पवित्र क्षण है।

सुग्रीव और राम मिले। दोनों ने अपनी-अपनी पीड़ा साझा की। राम ने सुग्रीव की मदद का वचन दिया — वाली को परास्त करने का। और सुग्रीव ने वचन दिया — सीता को खोजने में सहायता का। हनुमान इस मैत्री के साक्षी बने और मन-ही-मन जानते थे — यह मेल ईश्वरीय योजना का हिस्सा है।

उस रात हनुमान ने राम के चरणों में बैठकर उनका गुणगान सुना। जब राम सो गए, हनुमान उनके पास बैठे रहे। उन्होंने मन-ही-मन प्रण किया — ""अब इस जीवन का एक-एक क्षण राम की सेवा में अर्पित होगा।"" यह मुलाकात नहीं थी — यह एक आत्मा का अपने उद्देश्य से मिलना था।"
बाल हनुमान और सूर्य निगलन,"बालक हनुमान अपनी माँ अंजना की गोद में खेल रहे थे। सूर्योदय हुआ — आकाश में एक बड़ा, चमकीला, लाल गोला उगा। बालक हनुमान ने अपनी नन्ही आँखें फैलाईं और सोचा — ""वह तो बड़ा पका हुआ फल है!"" और वे उड़ चले।

माँ अंजना की गोद से फिसलकर, छोटे हनुमान ने पंख फैलाए और आकाश की ओर उड़ चले। वायुदेव उनके पिता थे — हवा उनका सहारा थी। जैसे-जैसे वे सूर्य के निकट पहुँचते गए, उनकी आँखों की चमक और बढ़ती गई। भूख और जिज्ञासा — इन दो भावों से भरा एक बालक, ब्रह्मांड की सीमाओं को पार कर रहा था।

उसी दिन सूर्यग्रहण था। राहु भी सूर्य को ग्रसने आया था — और उसने देखा एक बालक उससे पहले सूर्य की ओर झपट रहा है। राहु घबराकर इंद्र के पास गया — ""देवराज, कोई और राहु आ गया!"" इंद्र ने ऐरावत पर सवार होकर हनुमान को रोकने की कोशिश की।

इंद्र ने वज्र चलाया। बालक हनुमान के जबड़े पर वज्र लगा और वे एक पर्वत पर जा गिरे। माता अंजना का रोना सुनकर वायुदेव क्रोधित हो उठे। उन्होंने वायु रोक ली — सारे ब्रह्मांड में श्वास रुक गई। देवता, मनुष्य, समस्त जीव तड़पने लगे।

ब्रह्मा जी दौड़े आए। वायुदेव को मनाया, हनुमान को जीवित किया। इंद्र ने क्षमा माँगी और वरदान दिया — ""इस बालक का शरीर वज्र से भी कठोर होगा।"" सूर्यदेव ने कहा — ""मैं इसे अपना शिष्य बनाऊँगा।"" ब्रह्मा ने कहा — ""इसे ब्रह्मास्त्र काम नहीं करेगा।"" एक के बाद एक देवताओं ने आशीर्वाद दिए।

इसी घटना में हनुमान को ""हनुमान"" नाम मिला — ""हनु"" अर्थात जबड़ा, जो वज्र से टूटा था। यह कथा बताती है — जो ईश्वर का बालक है, उसे चोट लग सकती है, पर वह नष्ट नहीं होता। संकट उसे और शक्तिशाली बनाता है। और जो निर्भय होकर सूर्य की ओर उड़ता है — उसे एक दिन सूर्य भी अपना गुरु मानता है।"
हनुमान के हृदय में राम,"लंका विजय के बाद राम अयोध्या लौटे थे। राज्याभिषेक हुआ। सभी को पुरस्कार मिले। सीता माँ ने अपना मोती-हार उतारा और सोचने लगीं — इसे देने के योग्य कौन है? उनकी दृष्टि हनुमान पर टिकी — और उन्होंने हार उन्हें दे दिया।

हनुमान ने हार लिया और उसे ध्यान से देखने लगे। एक-एक मोती उठाकर देखा, तोड़ा, और फर्श पर रख दिया। दरबारी चकित थे — ""यह क्या कर रहे हैं?"" हनुमान बोले: ""मैं देख रहा हूँ — क्या इसमें राम हैं? जिसमें राम नहीं, वह मेरे किस काम का?""

एक दरबारी ने व्यंग्य से कहा — ""तो क्या राम तुम्हारे भीतर हैं? दिखाओ।"" बिना एक पल की देरी किए, हनुमान ने अपनी छाती चीर दी। रक्त की जगह वहाँ प्रकाश था — और उस प्रकाश में राम और सीता विराजमान थे।

पूरा दरबार स्तब्ध था। राम के नेत्रों से अश्रु बह रहे थे। सीता माँ मुस्कुरा रही थीं। लक्ष्मण आगे आकर हनुमान से लिपट गए। किसी के मुँह से शब्द नहीं निकल रहे थे। हनुमान की छाती फिर से बंद हो गई — जैसे कुछ हुआ ही नहीं।

राम ने हनुमान का हाथ थामा और कहा — ""हनुमान, तुम मेरी मूर्ति में नहीं, मेरे भक्त के हृदय में रहता हूँ। जहाँ भी तुम्हारे जैसा भक्त होगा — वहाँ मैं सदा निवास करूँगा।"" यह वरदान नहीं था — यह एक सत्य था जो हनुमान ने सिद्ध किया था।

यह कथा सिखाती है कि भक्ति केवल पूजा-पाठ नहीं है। यह एक ऐसी अवस्था है जहाँ प्रिय और प्रेमी के बीच का फर्क मिट जाता है। हनुमान ने राम को बाहर नहीं खोजा — राम उनके भीतर थे। और वह दिन उनके जीवन का सबसे महान क्षण नहीं था — क्योंकि उनके लिए हर क्षण वैसा ही था।"
